File,Time_Sec,GPU_Util,RAM_Usage_MB,Power_W,Net_Sent_Bytes,Net_Recv_Bytes,CPU_Core_0,CPU_Core_1,CPU_Core_2,CPU_Core_3,CPU_Total_Avg
EC_0179-5331-04-04-PSJ-F-04-A.wav,0.07015283999498934,99,11999,0,190695,1872,15.3,12.4,24.9,14.0,16.65
EC_0179-5331-04-04-PSJ-F-04-A.wav,1.1447450230189133,91,11999,0,85782,2660,7.7,8.4,6.5,32.4,13.75
EC_0179-5331-04-04-PSJ-F-04-A.wav,2.173290380014805,0,11999,0,2690,1236,32.0,21.2,7.8,16.7,19.425
EC_0179-5332-04-04-PSJ-F-04-A.wav,0.06456303200684488,99,11999,0,87587,1144,18.3,13.8,21.8,16.0,17.475
EC_0179-5332-04-04-PSJ-F-04-A.wav,1.133796683017863,95,11999,0,207545,4018,8.6,33.6,8.5,13.1,15.950000000000001
EC_0179-5333-04-04-PSJ-F-04-A.wav,0.06764380700769834,99,12000,0,109861,1560,15.4,21.8,9.9,19.0,16.525
EC_0179-5333-04-04-PSJ-F-04-A.wav,1.141210173984291,99,12001,0,182540,3900,9.4,5.7,12.0,35.8,15.725
EC_0179-5333-04-04-PSJ-F-04-A.wav,2.1681053289794363,0,12001,0,2666,1157,19.2,9.7,15.7,8.8,13.349999999999998
EC_0179-5334-04-04-PSJ-F-04-A.wav,0.06093505799071863,99,12001,0,86199,1300,0.0,0.0,0.0,0.0,0.0
EC_0179-5334-04-04-PSJ-F-04-A.wav,1.1373353060043883,97,12003,0,183140,4212,10.3,7.3,8.3,36.1,15.5
EC_0179-5334-04-04-PSJ-F-04-A.wav,2.165176529000746,0,12003,0,2669,1163,15.8,10.2,30.0,1.9,14.475
EC_0179-5335-04-04-PSJ-F-04-A.wav,0.07574783300515264,99,12004,0,87587,1312,15.4,13.9,22.0,17.0,17.075
EC_0179-5335-04-04-PSJ-F-04-A.wav,1.1591440130141564,91,12004,0,141300,4677,10.2,32.7,9.1,6.5,14.625000000000002
EC_0179-5336-04-04-PSJ-F-04-A.wav,0.061707485001534224,99,12004,0,30283,572,0.0,0.0,0.0,0.0,0.0
EC_0179-5336-04-04-PSJ-F-04-A.wav,1.1314723630202934,91,12004,0,212806,5881,10.4,18.3,11.3,37.4,19.35
EC_0179-5337-04-04-PSJ-F-04-A.wav,0.058231551985954866,99,12023,0,86199,1248,13.3,22.2,15.5,16.6,16.9
EC_0179-5337-04-04-PSJ-F-04-A.wav,1.1306492789881304,97,12023,0,165838,3744,10.3,6.6,36.1,5.6,14.65
EC_0179-5337-04-04-PSJ-F-04-A.wav,2.15722211098182,0,12023,0,2661,1149,1.0,5.8,23.2,27.3,14.325
EC_0179-5338-04-04-PSJ-F-04-A.wav,0.0616977890022099,99,12023,0,32993,520,11.4,12.2,21.3,15.0,14.975000000000001
EC_0179-5338-04-04-PSJ-F-04-A.wav,1.1298165290209,99,12023,0,314118,7365,21.7,10.2,7.5,34.0,18.35
EC_0179-5339-04-04-PSJ-F-04-A.wav,0.06895226199412718,99,12023,0,68023,936,11.9,18.6,17.1,18.3,16.475
EC_0179-5339-04-04-PSJ-F-04-A.wav,1.1467954990221187,98,12027,0,218684,2444,13.2,37.4,13.1,6.7,17.599999999999998
EC_0179-5339-04-04-PSJ-F-04-A.wav,2.1690775380120613,97,12027,0,3897,3594,5.8,18.6,24.5,1.0,12.475000000000001
EC_0179-5339-04-04-PSJ-F-04-A.wav,3.196800833015004,0,12027,0,66,1062,2.0,2.0,9.0,0.0,3.25
EC_0179-5340-04-04-PSJ-F-04-A.wav,0.06195232999743894,99,12027,0,87587,1092,9.8,16.1,17.2,10.9,13.5
EC_0179-5340-04-04-PSJ-F-04-A.wav,1.1391488109948114,88,12029,0,141168,2080,11.0,36.1,4.7,6.5,14.575000000000001
EC_0179-5340-04-04-PSJ-F-04-A.wav,2.165938135003671,0,12029,0,2657,1147,5.9,11.8,16.7,7.8,10.55
EC_0179-5341-04-04-PSJ-F-04-A.wav,0.06159963898244314,99,12029,0,197899,1976,0.0,0.0,0.0,0.0,0.0
EC_0179-5341-04-04-PSJ-F-04-A.wav,1.1365819519851357,98,12029,0,117762,3640,10.3,8.3,18.7,21.0,14.575
EC_0179-5341-04-04-PSJ-F-04-A.wav,2.1645256420015357,0,12029,0,2810,1274,3.0,11.7,17.6,18.6,12.725
EC_0179-5342-04-04-PSJ-F-04-A.wav,0.06264679998275824,99,12031,0,84811,1092,0.0,0.0,0.0,0.0,0.0
EC_0179-5342-04-04-PSJ-F-04-A.wav,1.1339889779919758,99,12030,0,297319,7268,41.1,5.6,38.3,6.6,22.9
EC_0179-5342-04-04-PSJ-F-04-A.wav,2.158388218987966,0,12030,0,0,0,6.9,26.0,47.0,0.0,19.975
EC_0179-5343-04-04-PSJ-F-04-A.wav,0.06280152802355587,99,12031,0,91817,1456,12.7,14.8,21.2,12.8,15.375
EC_0179-5343-04-04-PSJ-F-04-A.wav,1.1360769949969836,96,12031,0,183150,2652,10.4,8.3,34.9,5.6,14.8
EC_0179-5344-04-04-PSJ-F-04-A.wav,0.0789893530018162,99,12031,0,30283,572,11.5,17.6,17.8,14.9,15.450000000000001
EC_0179-5344-04-04-PSJ-F-04-A.wav,1.1478723890031688,0,12031,0,218635,4168,12.1,10.4,47.6,36.2,26.575
